[oracle] loaded llada; hidden_dim=4096
[oracle] llada/gsm8k prompts=300 buf=88 elapsed=1792s
[oracle] llada/gsm8k prompts=310 buf=108 elapsed=1851s
[oracle] llada/gsm8k prompts=320 buf=128 elapsed=1909s
[oracle] llada/gsm8k prompts=330 buf=148 elapsed=1966s
[oracle] llada/gsm8k prompts=340 buf=168 elapsed=2026s
[oracle] llada/gsm8k prompts=350 buf=188 elapsed=2084s
[oracle] llada/gsm8k prompts=360 buf=208 elapsed=2142s
[oracle] llada/gsm8k prompts=370 buf=228 elapsed=2201s
[oracle] llada/gsm8k prompts=380 buf=248 elapsed=2258s
[oracle] llada/gsm8k prompts=390 buf=268 elapsed=2317s
[oracle] llada/gsm8k prompts=400 buf=288 elapsed=2376s
[oracle] llada/gsm8k prompts=410 buf=308 elapsed=2434s
[oracle] llada/gsm8k prompts=420 buf=328 elapsed=2492s
[oracle] llada/gsm8k prompts=430 buf=348 elapsed=2550s
[oracle] llada/gsm8k prompts=440 buf=368 elapsed=2609s
[oracle] llada/gsm8k prompts=450 buf=388 elapsed=2666s
[oracle] llada/gsm8k prompts=460 buf=408 elapsed=2724s
[oracle] llada/gsm8k prompts=470 buf=428 elapsed=2783s
[oracle] llada/gsm8k prompts=480 buf=448 elapsed=2840s
[oracle] llada/gsm8k prompts=490 buf=468 elapsed=2898s
[oracle] llada/gsm8k prompts=500 buf=488 elapsed=2957s
[oracle] llada/gsm8k prompts=510 buf=508 elapsed=3015s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000001.pt (512 examples)
[oracle] llada/gsm8k prompts=520 buf=16 elapsed=3072s
[oracle] llada/gsm8k prompts=530 buf=36 elapsed=3129s
[oracle] llada/gsm8k prompts=540 buf=56 elapsed=3186s
[oracle] llada/gsm8k prompts=550 buf=76 elapsed=3243s
[oracle] llada/gsm8k prompts=560 buf=96 elapsed=3300s
[oracle] llada/gsm8k prompts=570 buf=116 elapsed=3357s
[oracle] llada/gsm8k prompts=580 buf=136 elapsed=3415s
[oracle] llada/gsm8k prompts=590 buf=156 elapsed=3472s
[oracle] llada/gsm8k prompts=600 buf=176 elapsed=3531s
[oracle] llada/gsm8k prompts=610 buf=196 elapsed=3589s
[oracle] llada/gsm8k prompts=620 buf=216 elapsed=3648s
[oracle] llada/gsm8k prompts=630 buf=236 elapsed=3704s
[oracle] llada/gsm8k prompts=640 buf=256 elapsed=3763s
[oracle] llada/gsm8k prompts=650 buf=276 elapsed=3820s
[oracle] llada/gsm8k prompts=660 buf=296 elapsed=3877s
[oracle] llada/gsm8k prompts=670 buf=316 elapsed=3934s
[oracle] llada/gsm8k prompts=680 buf=336 elapsed=3992s
[oracle] llada/gsm8k prompts=690 buf=356 elapsed=4048s
[oracle] llada/gsm8k prompts=700 buf=376 elapsed=4105s
[oracle] llada/gsm8k prompts=710 buf=396 elapsed=4162s
[oracle] llada/gsm8k prompts=720 buf=416 elapsed=4218s
[oracle] llada/gsm8k prompts=730 buf=436 elapsed=4275s
[oracle] llada/gsm8k prompts=740 buf=456 elapsed=4332s
[oracle] llada/gsm8k prompts=750 buf=476 elapsed=4389s
[oracle] llada/gsm8k prompts=760 buf=496 elapsed=4448s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000002.pt (512 examples)
[oracle] llada/gsm8k prompts=770 buf=4 elapsed=4505s
[oracle] llada/gsm8k prompts=780 buf=24 elapsed=4564s
[oracle] llada/gsm8k prompts=790 buf=44 elapsed=4621s
[oracle] llada/gsm8k prompts=800 buf=64 elapsed=4678s
[oracle] llada/gsm8k prompts=810 buf=84 elapsed=4736s
[oracle] llada/gsm8k prompts=820 buf=104 elapsed=4795s
[oracle] llada/gsm8k prompts=830 buf=124 elapsed=4852s
[oracle] llada/gsm8k prompts=840 buf=144 elapsed=4910s
[oracle] llada/gsm8k prompts=850 buf=164 elapsed=4967s
[oracle] llada/gsm8k prompts=860 buf=184 elapsed=5024s
[oracle] llada/gsm8k prompts=870 buf=204 elapsed=5081s
[oracle] llada/gsm8k prompts=880 buf=224 elapsed=5138s
[oracle] llada/gsm8k prompts=890 buf=244 elapsed=5196s
[oracle] llada/gsm8k prompts=900 buf=264 elapsed=5254s
[oracle] llada/gsm8k prompts=910 buf=284 elapsed=5310s
[oracle] llada/gsm8k prompts=920 buf=304 elapsed=5368s
[oracle] llada/gsm8k prompts=930 buf=324 elapsed=5425s
[oracle] llada/gsm8k prompts=940 buf=344 elapsed=5482s
[oracle] llada/gsm8k prompts=950 buf=364 elapsed=5539s
[oracle] llada/gsm8k prompts=960 buf=384 elapsed=5597s
[oracle] llada/gsm8k prompts=970 buf=404 elapsed=5654s
[oracle] llada/gsm8k prompts=980 buf=424 elapsed=5711s
[oracle] llada/gsm8k prompts=990 buf=444 elapsed=5769s
[oracle] llada/gsm8k prompts=1000 buf=464 elapsed=5828s
[oracle] llada/gsm8k prompts=1010 buf=484 elapsed=5886s
[oracle] llada/gsm8k prompts=1020 buf=504 elapsed=5943s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000003.pt (512 examples)
[oracle] llada/gsm8k prompts=1030 buf=12 elapsed=6000s
[oracle] llada/gsm8k prompts=1040 buf=32 elapsed=6058s
[oracle] llada/gsm8k prompts=1050 buf=52 elapsed=6116s
[oracle] llada/gsm8k prompts=1060 buf=72 elapsed=6173s
[oracle] llada/gsm8k prompts=1070 buf=92 elapsed=6230s
[oracle] llada/gsm8k prompts=1080 buf=112 elapsed=6289s
[oracle] llada/gsm8k prompts=1090 buf=132 elapsed=6347s
[oracle] llada/gsm8k prompts=1100 buf=152 elapsed=6404s
[oracle] llada/gsm8k prompts=1110 buf=172 elapsed=6463s
[oracle] llada/gsm8k prompts=1120 buf=192 elapsed=6520s
[oracle] llada/gsm8k prompts=1130 buf=212 elapsed=6578s
[oracle] llada/gsm8k prompts=1140 buf=232 elapsed=6635s
[oracle] llada/gsm8k prompts=1150 buf=252 elapsed=6692s
[oracle] llada/gsm8k prompts=1160 buf=272 elapsed=6750s
[oracle] llada/gsm8k prompts=1170 buf=292 elapsed=6807s
[oracle] llada/gsm8k prompts=1180 buf=312 elapsed=6864s
[oracle] llada/gsm8k prompts=1190 buf=332 elapsed=6922s
[oracle] llada/gsm8k prompts=1200 buf=352 elapsed=6980s
[oracle] llada/gsm8k prompts=1210 buf=372 elapsed=7038s
[oracle] llada/gsm8k prompts=1220 buf=392 elapsed=7096s
[oracle] llada/gsm8k prompts=1230 buf=412 elapsed=7153s
[oracle] llada/gsm8k prompts=1240 buf=432 elapsed=7211s
[oracle] llada/gsm8k prompts=1250 buf=452 elapsed=7269s
[oracle] llada/gsm8k prompts=1260 buf=472 elapsed=7326s
[oracle] llada/gsm8k prompts=1270 buf=492 elapsed=7385s
[oracle] llada/gsm8k prompts=1280 buf=512 elapsed=7443s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000004.pt (512 examples)
[oracle] llada/gsm8k prompts=1290 buf=20 elapsed=7500s
[oracle] llada/gsm8k prompts=1300 buf=40 elapsed=7558s
[oracle] llada/gsm8k prompts=1310 buf=60 elapsed=7615s
[oracle] llada/gsm8k prompts=1320 buf=80 elapsed=7672s
[oracle] llada/gsm8k prompts=1330 buf=100 elapsed=7730s
[oracle] llada/gsm8k prompts=1340 buf=120 elapsed=7787s
[oracle] llada/gsm8k prompts=1350 buf=140 elapsed=7845s
[oracle] llada/gsm8k prompts=1360 buf=160 elapsed=7902s
[oracle] llada/gsm8k prompts=1370 buf=180 elapsed=7959s
[oracle] llada/gsm8k prompts=1380 buf=200 elapsed=8017s
[oracle] llada/gsm8k prompts=1390 buf=220 elapsed=8077s
[oracle] llada/gsm8k prompts=1400 buf=240 elapsed=8134s
[oracle] llada/gsm8k prompts=1410 buf=260 elapsed=8191s
[oracle] llada/gsm8k prompts=1420 buf=280 elapsed=8249s
[oracle] llada/gsm8k prompts=1430 buf=300 elapsed=8307s
[oracle] llada/gsm8k prompts=1440 buf=320 elapsed=8364s
[oracle] llada/gsm8k prompts=1450 buf=340 elapsed=8422s
[oracle] llada/gsm8k prompts=1460 buf=360 elapsed=8477s
[oracle] llada/gsm8k prompts=1470 buf=380 elapsed=8535s
[oracle] llada/gsm8k prompts=1480 buf=400 elapsed=8592s
[oracle] llada/gsm8k prompts=1490 buf=420 elapsed=8649s
[oracle] llada/gsm8k prompts=1500 buf=440 elapsed=8706s
[oracle] wrote final shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000005.pt (440 examples)
[oracle] done. total prompts=1500
