[oracle] loaded llada; hidden_dim=4096
[oracle] llada/owt prompts=850 buf=162 elapsed=4817s
[oracle] llada/owt prompts=860 buf=182 elapsed=4873s
[oracle] llada/owt prompts=870 buf=202 elapsed=4928s
[oracle] llada/owt prompts=880 buf=222 elapsed=4984s
[oracle] llada/owt prompts=890 buf=242 elapsed=5040s
[oracle] llada/owt prompts=900 buf=262 elapsed=5094s
[oracle] llada/owt prompts=910 buf=282 elapsed=5150s
[oracle] llada/owt prompts=920 buf=302 elapsed=5206s
[oracle] llada/owt prompts=930 buf=322 elapsed=5262s
[oracle] llada/owt prompts=940 buf=342 elapsed=5317s
[oracle] llada/owt prompts=950 buf=362 elapsed=5373s
[oracle] llada/owt prompts=960 buf=382 elapsed=5429s
[oracle] llada/owt prompts=970 buf=402 elapsed=5485s
[oracle] llada/owt prompts=980 buf=422 elapsed=5541s
[oracle] llada/owt prompts=990 buf=442 elapsed=5597s
[oracle] llada/owt prompts=1000 buf=462 elapsed=5651s
[oracle] llada/owt prompts=1010 buf=482 elapsed=5707s
[oracle] llada/owt prompts=1020 buf=502 elapsed=5763s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000003.pt (512 examples)
[oracle] llada/owt prompts=1030 buf=10 elapsed=5820s
[oracle] llada/owt prompts=1040 buf=30 elapsed=5875s
[oracle] llada/owt prompts=1050 buf=50 elapsed=5931s
[oracle] llada/owt prompts=1060 buf=70 elapsed=5987s
[oracle] llada/owt prompts=1070 buf=90 elapsed=6042s
[oracle] llada/owt prompts=1080 buf=110 elapsed=6097s
[oracle] llada/owt prompts=1090 buf=130 elapsed=6153s
[oracle] llada/owt prompts=1100 buf=150 elapsed=6208s
[oracle] llada/owt prompts=1110 buf=170 elapsed=6263s
[oracle] llada/owt prompts=1120 buf=190 elapsed=6319s
[oracle] llada/owt prompts=1130 buf=210 elapsed=6374s
[oracle] llada/owt prompts=1140 buf=230 elapsed=6431s
[oracle] llada/owt prompts=1150 buf=250 elapsed=6487s
[oracle] llada/owt prompts=1160 buf=270 elapsed=6544s
[oracle] llada/owt prompts=1170 buf=290 elapsed=6600s
[oracle] llada/owt prompts=1180 buf=310 elapsed=6656s
[oracle] llada/owt prompts=1190 buf=330 elapsed=6711s
[oracle] llada/owt prompts=1200 buf=350 elapsed=6766s
[oracle] llada/owt prompts=1210 buf=370 elapsed=6822s
[oracle] llada/owt prompts=1220 buf=390 elapsed=6878s
[oracle] llada/owt prompts=1230 buf=410 elapsed=6935s
[oracle] llada/owt prompts=1240 buf=430 elapsed=6991s
[oracle] llada/owt prompts=1250 buf=450 elapsed=7047s
[oracle] llada/owt prompts=1260 buf=470 elapsed=7104s
[oracle] llada/owt prompts=1270 buf=490 elapsed=7160s
[oracle] llada/owt prompts=1280 buf=510 elapsed=7217s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000004.pt (512 examples)
[oracle] llada/owt prompts=1290 buf=18 elapsed=7274s
[oracle] llada/owt prompts=1300 buf=38 elapsed=7331s
[oracle] llada/owt prompts=1310 buf=58 elapsed=7387s
[oracle] llada/owt prompts=1320 buf=78 elapsed=7444s
[oracle] llada/owt prompts=1330 buf=98 elapsed=7501s
[oracle] llada/owt prompts=1340 buf=118 elapsed=7557s
[oracle] llada/owt prompts=1350 buf=138 elapsed=7613s
[oracle] llada/owt prompts=1360 buf=158 elapsed=7668s
[oracle] llada/owt prompts=1370 buf=178 elapsed=7724s
[oracle] llada/owt prompts=1380 buf=198 elapsed=7781s
[oracle] llada/owt prompts=1390 buf=218 elapsed=7837s
[oracle] llada/owt prompts=1400 buf=238 elapsed=7893s
[oracle] llada/owt prompts=1410 buf=258 elapsed=7949s
[oracle] llada/owt prompts=1420 buf=278 elapsed=8005s
[oracle] llada/owt prompts=1430 buf=298 elapsed=8062s
[oracle] llada/owt prompts=1440 buf=318 elapsed=8118s
[oracle] llada/owt prompts=1450 buf=338 elapsed=8175s
[oracle] llada/owt prompts=1460 buf=358 elapsed=8231s
[oracle] llada/owt prompts=1470 buf=378 elapsed=8286s
[oracle] llada/owt prompts=1480 buf=398 elapsed=8342s
[oracle] llada/owt prompts=1490 buf=418 elapsed=8398s
[oracle] llada/owt prompts=1500 buf=438 elapsed=8455s
[oracle] wrote final shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/owt/oracle_000005.pt (438 examples)
[oracle] done. total prompts=1500
