[oracle] loaded llada; hidden_dim=4096
[oracle] llada/gsm8k prompts=300 buf=88 elapsed=1752s
[oracle] llada/gsm8k prompts=310 buf=108 elapsed=1809s
[oracle] llada/gsm8k prompts=320 buf=128 elapsed=1866s
[oracle] llada/gsm8k prompts=330 buf=148 elapsed=1922s
[oracle] llada/gsm8k prompts=340 buf=168 elapsed=1980s
[oracle] llada/gsm8k prompts=350 buf=188 elapsed=2036s
[oracle] llada/gsm8k prompts=360 buf=208 elapsed=2093s
[oracle] llada/gsm8k prompts=370 buf=228 elapsed=2150s
[oracle] llada/gsm8k prompts=380 buf=248 elapsed=2207s
[oracle] llada/gsm8k prompts=390 buf=268 elapsed=2264s
[oracle] llada/gsm8k prompts=400 buf=288 elapsed=2321s
[oracle] llada/gsm8k prompts=410 buf=308 elapsed=2378s
[oracle] llada/gsm8k prompts=420 buf=328 elapsed=2435s
[oracle] llada/gsm8k prompts=430 buf=348 elapsed=2492s
[oracle] llada/gsm8k prompts=440 buf=368 elapsed=2549s
[oracle] llada/gsm8k prompts=450 buf=388 elapsed=2605s
[oracle] llada/gsm8k prompts=460 buf=408 elapsed=2661s
[oracle] llada/gsm8k prompts=470 buf=428 elapsed=2718s
[oracle] llada/gsm8k prompts=480 buf=448 elapsed=2775s
[oracle] llada/gsm8k prompts=490 buf=468 elapsed=2831s
[oracle] llada/gsm8k prompts=500 buf=488 elapsed=2889s
[oracle] llada/gsm8k prompts=510 buf=508 elapsed=2946s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000001.pt (512 examples)
[oracle] llada/gsm8k prompts=520 buf=16 elapsed=3002s
[oracle] llada/gsm8k prompts=530 buf=36 elapsed=3059s
[oracle] llada/gsm8k prompts=540 buf=56 elapsed=3115s
[oracle] llada/gsm8k prompts=550 buf=76 elapsed=3171s
[oracle] llada/gsm8k prompts=560 buf=96 elapsed=3227s
[oracle] llada/gsm8k prompts=570 buf=116 elapsed=3284s
[oracle] llada/gsm8k prompts=580 buf=136 elapsed=3341s
[oracle] llada/gsm8k prompts=590 buf=156 elapsed=3398s
[oracle] llada/gsm8k prompts=600 buf=176 elapsed=3456s
[oracle] llada/gsm8k prompts=610 buf=196 elapsed=3513s
[oracle] llada/gsm8k prompts=620 buf=216 elapsed=3571s
[oracle] llada/gsm8k prompts=630 buf=236 elapsed=3627s
[oracle] llada/gsm8k prompts=640 buf=256 elapsed=3685s
[oracle] llada/gsm8k prompts=650 buf=276 elapsed=3742s
[oracle] llada/gsm8k prompts=660 buf=296 elapsed=3798s
[oracle] llada/gsm8k prompts=670 buf=316 elapsed=3854s
[oracle] llada/gsm8k prompts=680 buf=336 elapsed=3911s
[oracle] llada/gsm8k prompts=690 buf=356 elapsed=3967s
[oracle] llada/gsm8k prompts=700 buf=376 elapsed=4024s
[oracle] llada/gsm8k prompts=710 buf=396 elapsed=4080s
[oracle] llada/gsm8k prompts=720 buf=416 elapsed=4135s
[oracle] llada/gsm8k prompts=730 buf=436 elapsed=4191s
[oracle] llada/gsm8k prompts=740 buf=456 elapsed=4248s
[oracle] llada/gsm8k prompts=750 buf=476 elapsed=4304s
[oracle] llada/gsm8k prompts=760 buf=496 elapsed=4362s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000002.pt (512 examples)
[oracle] llada/gsm8k prompts=770 buf=4 elapsed=4419s
[oracle] llada/gsm8k prompts=780 buf=24 elapsed=4476s
[oracle] llada/gsm8k prompts=790 buf=44 elapsed=4533s
[oracle] llada/gsm8k prompts=800 buf=64 elapsed=4590s
[oracle] llada/gsm8k prompts=810 buf=84 elapsed=4647s
[oracle] llada/gsm8k prompts=820 buf=104 elapsed=4706s
[oracle] llada/gsm8k prompts=830 buf=124 elapsed=4762s
[oracle] llada/gsm8k prompts=840 buf=144 elapsed=4819s
[oracle] llada/gsm8k prompts=850 buf=164 elapsed=4875s
[oracle] llada/gsm8k prompts=860 buf=184 elapsed=4931s
[oracle] llada/gsm8k prompts=870 buf=204 elapsed=4988s
[oracle] llada/gsm8k prompts=880 buf=224 elapsed=5044s
[oracle] llada/gsm8k prompts=890 buf=244 elapsed=5101s
[oracle] llada/gsm8k prompts=900 buf=264 elapsed=5158s
[oracle] llada/gsm8k prompts=910 buf=284 elapsed=5214s
[oracle] llada/gsm8k prompts=920 buf=304 elapsed=5271s
[oracle] llada/gsm8k prompts=930 buf=324 elapsed=5327s
[oracle] llada/gsm8k prompts=940 buf=344 elapsed=5383s
[oracle] llada/gsm8k prompts=950 buf=364 elapsed=5439s
[oracle] llada/gsm8k prompts=960 buf=384 elapsed=5495s
[oracle] llada/gsm8k prompts=970 buf=404 elapsed=5552s
[oracle] llada/gsm8k prompts=980 buf=424 elapsed=5608s
[oracle] llada/gsm8k prompts=990 buf=444 elapsed=5664s
[oracle] llada/gsm8k prompts=1000 buf=464 elapsed=5722s
[oracle] llada/gsm8k prompts=1010 buf=484 elapsed=5778s
[oracle] llada/gsm8k prompts=1020 buf=504 elapsed=5835s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000003.pt (512 examples)
[oracle] llada/gsm8k prompts=1030 buf=12 elapsed=5891s
[oracle] llada/gsm8k prompts=1040 buf=32 elapsed=5948s
[oracle] llada/gsm8k prompts=1050 buf=52 elapsed=6004s
[oracle] llada/gsm8k prompts=1060 buf=72 elapsed=6060s
[oracle] llada/gsm8k prompts=1070 buf=92 elapsed=6116s
[oracle] llada/gsm8k prompts=1080 buf=112 elapsed=6174s
[oracle] llada/gsm8k prompts=1090 buf=132 elapsed=6230s
[oracle] llada/gsm8k prompts=1100 buf=152 elapsed=6287s
[oracle] llada/gsm8k prompts=1110 buf=172 elapsed=6345s
[oracle] llada/gsm8k prompts=1120 buf=192 elapsed=6401s
[oracle] llada/gsm8k prompts=1130 buf=212 elapsed=6458s
[oracle] llada/gsm8k prompts=1140 buf=232 elapsed=6515s
[oracle] llada/gsm8k prompts=1150 buf=252 elapsed=6571s
[oracle] llada/gsm8k prompts=1160 buf=272 elapsed=6628s
[oracle] llada/gsm8k prompts=1170 buf=292 elapsed=6684s
[oracle] llada/gsm8k prompts=1180 buf=312 elapsed=6741s
[oracle] llada/gsm8k prompts=1190 buf=332 elapsed=6798s
[oracle] llada/gsm8k prompts=1200 buf=352 elapsed=6855s
[oracle] llada/gsm8k prompts=1210 buf=372 elapsed=6913s
[oracle] llada/gsm8k prompts=1220 buf=392 elapsed=6969s
[oracle] llada/gsm8k prompts=1230 buf=412 elapsed=7026s
[oracle] llada/gsm8k prompts=1240 buf=432 elapsed=7082s
[oracle] llada/gsm8k prompts=1250 buf=452 elapsed=7140s
[oracle] llada/gsm8k prompts=1260 buf=472 elapsed=7196s
[oracle] llada/gsm8k prompts=1270 buf=492 elapsed=7254s
[oracle] llada/gsm8k prompts=1280 buf=512 elapsed=7311s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000004.pt (512 examples)
[oracle] llada/gsm8k prompts=1290 buf=20 elapsed=7368s
[oracle] llada/gsm8k prompts=1300 buf=40 elapsed=7425s
[oracle] llada/gsm8k prompts=1310 buf=60 elapsed=7481s
[oracle] llada/gsm8k prompts=1320 buf=80 elapsed=7538s
[oracle] llada/gsm8k prompts=1330 buf=100 elapsed=7595s
[oracle] llada/gsm8k prompts=1340 buf=120 elapsed=7651s
[oracle] llada/gsm8k prompts=1350 buf=140 elapsed=7708s
[oracle] llada/gsm8k prompts=1360 buf=160 elapsed=7764s
[oracle] llada/gsm8k prompts=1370 buf=180 elapsed=7821s
[oracle] llada/gsm8k prompts=1380 buf=200 elapsed=7879s
[oracle] llada/gsm8k prompts=1390 buf=220 elapsed=7938s
[oracle] llada/gsm8k prompts=1400 buf=240 elapsed=7995s
[oracle] llada/gsm8k prompts=1410 buf=260 elapsed=8051s
[oracle] llada/gsm8k prompts=1420 buf=280 elapsed=8108s
[oracle] llada/gsm8k prompts=1430 buf=300 elapsed=8166s
[oracle] llada/gsm8k prompts=1440 buf=320 elapsed=8222s
[oracle] llada/gsm8k prompts=1450 buf=340 elapsed=8279s
[oracle] llada/gsm8k prompts=1460 buf=360 elapsed=8334s
[oracle] llada/gsm8k prompts=1470 buf=380 elapsed=8391s
[oracle] llada/gsm8k prompts=1480 buf=400 elapsed=8447s
[oracle] llada/gsm8k prompts=1490 buf=420 elapsed=8503s
[oracle] llada/gsm8k prompts=1500 buf=440 elapsed=8559s
[oracle] wrote final shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000005.pt (440 examples)
[oracle] done. total prompts=1500
