[oracle] loaded llada; hidden_dim=4096
[oracle] llada/math prompts=450 buf=371 elapsed=2589s
[oracle] llada/math prompts=460 buf=389 elapsed=2644s
[oracle] llada/math prompts=470 buf=409 elapsed=2699s
[oracle] llada/math prompts=480 buf=428 elapsed=2754s
[oracle] llada/math prompts=490 buf=445 elapsed=2815s
[oracle] llada/math prompts=500 buf=464 elapsed=2870s
[oracle] llada/math prompts=510 buf=484 elapsed=2925s
[oracle] llada/math prompts=520 buf=503 elapsed=2980s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/math/oracle_000001.pt (512 examples)
[oracle] llada/math prompts=530 buf=10 elapsed=3035s
[oracle] llada/math prompts=540 buf=30 elapsed=3091s
[oracle] llada/math prompts=550 buf=49 elapsed=3162s
[oracle] llada/math prompts=560 buf=69 elapsed=3218s
[oracle] llada/math prompts=570 buf=89 elapsed=3273s
[oracle] llada/math prompts=580 buf=107 elapsed=3326s
[oracle] llada/math prompts=590 buf=127 elapsed=3382s
[oracle] llada/math prompts=600 buf=147 elapsed=3437s
[oracle] llada/math prompts=610 buf=167 elapsed=3493s
[oracle] llada/math prompts=620 buf=186 elapsed=3548s
[oracle] llada/math prompts=630 buf=206 elapsed=3611s
[oracle] llada/math prompts=640 buf=226 elapsed=3667s
[oracle] llada/math prompts=650 buf=245 elapsed=3722s
[oracle] llada/math prompts=660 buf=265 elapsed=3777s
[oracle] llada/math prompts=670 buf=282 elapsed=3830s
[oracle] llada/math prompts=680 buf=302 elapsed=3887s
[oracle] llada/math prompts=690 buf=322 elapsed=3943s
[oracle] llada/math prompts=700 buf=342 elapsed=3998s
[oracle] llada/math prompts=710 buf=361 elapsed=4053s
[oracle] llada/math prompts=720 buf=380 elapsed=4108s
[oracle] llada/math prompts=730 buf=399 elapsed=4163s
[oracle] llada/math prompts=740 buf=419 elapsed=4219s
[oracle] llada/math prompts=750 buf=437 elapsed=4271s
[oracle] llada/math prompts=760 buf=457 elapsed=4327s
[oracle] llada/math prompts=770 buf=477 elapsed=4383s
[oracle] llada/math prompts=780 buf=495 elapsed=4437s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/math/oracle_000002.pt (512 examples)
[oracle] llada/math prompts=790 buf=2 elapsed=4493s
[oracle] llada/math prompts=800 buf=22 elapsed=4552s
[oracle] llada/math prompts=810 buf=41 elapsed=4607s
[oracle] llada/math prompts=820 buf=59 elapsed=4663s
[oracle] llada/math prompts=830 buf=79 elapsed=4719s
[oracle] llada/math prompts=840 buf=98 elapsed=4774s
[oracle] llada/math prompts=850 buf=118 elapsed=4830s
[oracle] llada/math prompts=860 buf=138 elapsed=4885s
[oracle] llada/math prompts=870 buf=158 elapsed=4941s
[oracle] llada/math prompts=880 buf=177 elapsed=4996s
[oracle] llada/math prompts=890 buf=196 elapsed=5051s
[oracle] llada/math prompts=900 buf=215 elapsed=5106s
[oracle] llada/math prompts=910 buf=234 elapsed=5160s
[oracle] llada/math prompts=920 buf=254 elapsed=5216s
[oracle] llada/math prompts=930 buf=272 elapsed=5269s
[oracle] llada/math prompts=940 buf=292 elapsed=5323s
[oracle] llada/math prompts=950 buf=312 elapsed=5379s
[oracle] llada/math prompts=960 buf=332 elapsed=5435s
[oracle] llada/math prompts=970 buf=351 elapsed=5499s
[oracle] llada/math prompts=980 buf=371 elapsed=5554s
[oracle] llada/math prompts=990 buf=391 elapsed=5609s
[oracle] llada/math prompts=1000 buf=410 elapsed=5664s
[oracle] llada/math prompts=1010 buf=428 elapsed=5718s
[oracle] llada/math prompts=1020 buf=448 elapsed=5773s
[oracle] llada/math prompts=1030 buf=468 elapsed=5828s
[oracle] llada/math prompts=1040 buf=487 elapsed=5882s
[oracle] llada/math prompts=1050 buf=507 elapsed=5938s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/math/oracle_000003.pt (512 examples)
[oracle] llada/math prompts=1060 buf=14 elapsed=6000s
[oracle] llada/math prompts=1070 buf=34 elapsed=6056s
[oracle] llada/math prompts=1080 buf=54 elapsed=6112s
[oracle] llada/math prompts=1090 buf=74 elapsed=6167s
[oracle] llada/math prompts=1100 buf=90 elapsed=6220s
[oracle] llada/math prompts=1110 buf=109 elapsed=6275s
[oracle] llada/math prompts=1120 buf=129 elapsed=6331s
[oracle] llada/math prompts=1130 buf=148 elapsed=6385s
[oracle] llada/math prompts=1140 buf=166 elapsed=6437s
[oracle] llada/math prompts=1150 buf=186 elapsed=6492s
[oracle] llada/math prompts=1160 buf=205 elapsed=6546s
[oracle] llada/math prompts=1170 buf=225 elapsed=6605s
[oracle] llada/math prompts=1180 buf=244 elapsed=6660s
[oracle] llada/math prompts=1190 buf=263 elapsed=6714s
[oracle] llada/math prompts=1200 buf=283 elapsed=6770s
[oracle] llada/math prompts=1210 buf=302 elapsed=6825s
[oracle] llada/math prompts=1220 buf=322 elapsed=6880s
[oracle] llada/math prompts=1230 buf=341 elapsed=6935s
[oracle] llada/math prompts=1240 buf=360 elapsed=6990s
[oracle] llada/math prompts=1250 buf=379 elapsed=7044s
[oracle] llada/math prompts=1260 buf=399 elapsed=7100s
[oracle] llada/math prompts=1270 buf=418 elapsed=7154s
[oracle] llada/math prompts=1280 buf=438 elapsed=7210s
[oracle] llada/math prompts=1290 buf=458 elapsed=7265s
[oracle] llada/math prompts=1300 buf=477 elapsed=7321s
[oracle] llada/math prompts=1310 buf=496 elapsed=7386s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/math/oracle_000004.pt (512 examples)
[oracle] llada/math prompts=1320 buf=4 elapsed=7441s
[oracle] llada/math prompts=1330 buf=24 elapsed=7505s
[oracle] llada/math prompts=1340 buf=44 elapsed=7560s
[oracle] llada/math prompts=1350 buf=63 elapsed=7615s
[oracle] llada/math prompts=1360 buf=82 elapsed=7670s
[oracle] llada/math prompts=1370 buf=102 elapsed=7726s
[oracle] llada/math prompts=1380 buf=122 elapsed=7781s
[oracle] llada/math prompts=1390 buf=142 elapsed=7837s
[oracle] llada/math prompts=1400 buf=162 elapsed=7892s
[oracle] llada/math prompts=1410 buf=182 elapsed=7950s
[oracle] llada/math prompts=1420 buf=201 elapsed=8005s
[oracle] llada/math prompts=1430 buf=220 elapsed=8060s
[oracle] llada/math prompts=1440 buf=239 elapsed=8115s
[oracle] llada/math prompts=1450 buf=259 elapsed=8170s
[oracle] llada/math prompts=1460 buf=279 elapsed=8225s
[oracle] llada/math prompts=1470 buf=298 elapsed=8280s
[oracle] llada/math prompts=1480 buf=318 elapsed=8336s
[oracle] llada/math prompts=1490 buf=338 elapsed=8391s
[oracle] llada/math prompts=1500 buf=357 elapsed=8445s
[oracle] wrote final shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/math/oracle_000005.pt (357 examples)
[oracle] done. total prompts=1500
